contig	length	gc	stage1_fre	stage1_mean_depth	stage1_mean_cov	stage2_fre	stage2_mean_depth	stage2_mean_cov	control.fre	control.mean.depth	contro.mean.cov	annotation
k141_4934	504	0.377	3	1.333	0.735	3	1.000	0.522	2002	0.492437624398559	0.226941787431551	Homo sapiens
k141_6008	440	0.380	3	2.000	0.977	8	3.625	0.889	2002	0.40124104392286	0.196860349996128	Homo sapiens
k141_1123	743	0.397	5	48.400	1.000	16	25.688	0.949	2002	0.255601871954816	0.180463246604462	Homo sapiens
k141_6215	377	0.440	5	3.600	0.871	7	3.143	0.401	2003	0.73960112758005	0.132329957613815	Homo sapiens
k141_791	592	0.399	2	1.000	0.614	2	1.500	0.811	2004	3.21615151574058	0.234899478751955	NA
k141_5096	553	0.396	5	2.000	0.798	4	18.250	0.969	2004	0.67967627452251	0.229432305364586	Homo sapiens
k141_9592	659	0.390	5	19.000	0.953	15	13.600	0.845	2004	0.434663329024787	0.19311925899847	Homo sapiens
k141_6089	497	0.378	3	2.333	0.952	11	2.545	0.728	2006	0.52499792559823	0.195085211172979	Homo sapiens
k141_4631	433	0.402	4	5.500	1.000	6	18.500	0.978	2007	0.410741831721001	0.20400645172475	NA
k141_4842	311	0.376	2	2.000	0.873	4	1.000	0.924	2008	0.71149825366586	0.312012391573078	NA
k141_1533	282	0.379	3	4.333	0.995	6	8.000	0.946	2009	0.74682020338629	0.267399684030771	NA
k141_5614	721	0.380	3	2.667	0.682	9	2.778	0.663	2009	0.315758201843285	0.134393873046628	Homo sapiens
k141_10255	755	0.388	5	14.400	0.973	15	17.933	0.821	2009	0.283426425705063	0.172067526300427	Homo sapiens
k141_8444	291	0.409	3	1.333	0.782	8	1.250	0.492	2010	1.14973959338087	0.404076132684552	Homo sapiens
k141_4239	332	0.355	3	4.000	0.974	9	3.222	0.990	2010	0.782408370761104	0.267158800720929	Homo sapiens
k141_2120	319	0.398	3	1.667	0.948	2	1.000	0.676	2010	0.62811744685764	0.201328501654175	Naegleria fowleri
k141_9056	391	0.389	5	6.000	0.969	5	13.200	0.928	2010	0.560397671858693	0.200758896219549	Naegleria fowleri
k141_9014	372	0.425	5	5.600	0.988	5	17.400	1.000	2011	0.548143575063339	0.174708842711024	Homo sapiens
k141_6233	417	0.376	4	2.500	0.927	6	1.333	0.746	2011	0.48008781570685	0.264099848100152	NA
k141_7931	430	0.395	5	1.200	0.791	2	1.000	0.772	2011	0.457770103280171	0.150109517487011	Homo sapiens
k141_10075	499	0.387	2	1.000	0.979	6	1.667	0.856	2011	0.391282952424437	0.132099200360254	Homo sapiens
k141_1085	350	0.377	2	1.500	0.599	2	1.000	0.943	2012	0.865860035780645	0.27783115569144	Homo sapiens
k141_9374	408	0.387	5	4.600	0.892	9	3.111	0.781	2012	0.674716714594913	0.202142023490959	Homo sapiens
k141_1099	334	0.374	5	2.400	0.934	8	2.750	0.896	2012	0.628895312662245	0.314027554158407	NA
k141_4616	399	0.366	3	2.333	0.747	6	3.333	0.975	2013	0.603714199351583	0.304909408892114	NA
k141_5634	357	0.345	2	1.000	1.000	3	2.333	0.769	2013	0.592619822421908	0.200404759475725	Homo sapiens
k141_5977	402	0.386	2	1.500	0.932	4	2.000	0.757	2014	0.850402811553993	0.220081073985473	Homo sapiens
k141_6666	707	0.378	4	11.500	0.877	5	8.800	0.721	2014	0.511740448803029	0.194412175262049	Homo sapiens
k141_6183	399	0.393	4	3.250	0.992	4	7.000	0.911	2015	0.511078378743381	0.165099169213497	Naegleria fowleri
k141_1599	486	0.368	5	8.200	0.976	14	4.643	0.974	2015	0.475820553092496	0.24086495915738	Homo sapiens
k141_4560	727	0.378	5	3.200	0.746	4	2.250	0.755	2015	0.283767027410283	0.172093504492681	Homo sapiens
k141_5949	774	0.403	5	6.600	0.839	12	6.583	0.626	2015	0.229764182037219	0.150940863955272	Homo sapiens
k141_3319	472	0.358	5	14.200	0.994	15	8.800	0.996	2016	0.425893137680179	0.226022122725542	Homo sapiens
k141_1324	657	0.377	5	15.200	0.974	13	12.462	0.901	2016	0.252759352896818	0.146361658081254	Homo sapiens
k141_5301	348	0.417	3	1.000	0.898	7	3.143	0.878	2017	0.807216724947538	0.186498638290038	Homo sapiens
k141_7888	439	0.364	5	4.800	0.987	13	2.462	0.991	2017	0.528829744423966	0.259527472645031	Homo sapiens
k141_7331	986	0.383	5	4.200	0.653	14	5.571	0.501	2017	0.178794916630909	0.118338494764087	Homo sapiens
k141_2974	320	0.375	3	1.667	0.949	4	3.500	0.927	2018	0.912777052746466	0.227441823415936	Homo sapiens
k141_5261	360	0.361	2	1.000	0.994	2	1.000	0.343	2018	0.580603557982996	0.269711226393166	Homo sapiens
k141_2181	477	0.365	5	6.400	0.999	7	31.714	0.910	2018	0.435544053643606	0.147558229401338	Homo sapiens
k141_5149	538	0.357	3	3.333	1.000	9	2.667	0.907	2019	0.520992622964748	0.201467696985002	Homo sapiens
k141_9719	393	0.369	4	3.000	0.936	5	1.400	0.812	2019	0.518900067495616	0.268785242937419	Homo sapiens
k141_4490	556	0.392	5	10.000	0.935	11	7.182	0.898	2019	0.504389848849898	0.165548017274041	Homo sapiens
k141_542	431	0.381	3	1.000	0.901	2	4.000	0.712	2019	0.425705323425326	0.199290650189776	Homo sapiens
k141_88	576	0.385	5	3.800	0.863	8	3.500	0.905	2019	0.417153552036263	0.232945278292165	Homo sapiens
k141_9898	450	0.389	5	4.600	0.941	9	9.444	0.940	2019	0.405658117160639	0.215362689309797	Naegleria fowleri
k141_9113	415	0.390	3	3.333	0.997	2	8.000	0.887	2020	1.86325925291838	0.311600935518094	NA
k141_6019	281	0.384	5	5.400	0.940	6	10.667	0.983	2020	0.730049601740214	0.24119042066639	Homo sapiens
k141_9223	304	0.355	3	1.667	0.875	4	2.750	0.926	2020	0.703603684201274	0.189981177889915	Homo sapiens
k141_3872	396	0.381	2	2.000	1.000	2	6.000	0.902	2020	0.516986518545571	0.200425644882478	Homo sapiens
k141_5254	473	0.393	2	1.000	0.863	3	1.000	0.723	2020	0.381160699661876	0.171374841295326	Naegleria fowleri
k141_8907	683	0.422	5	36.400	0.989	16	31.875	0.893	2020	0.318166031714606	0.109005384714351	Homo sapiens
k141_5151	374	0.404	3	2.000	0.788	3	3.000	0.949	2021	0.582582381155862	0.213930864528161	NA
k141_1164	283	0.371	4	3.000	0.948	5	1.400	0.732	2022	0.700531406089129	0.349619552245901	Homo sapiens
k141_6601	386	0.381	5	6.600	0.992	11	4.909	0.937	2022	0.608280731839852	0.300856898235488	Homo sapiens
k141_1901	602	0.399	4	6.000	0.963	7	12.000	0.932	2023	0.344276958840889	0.113330500641836	Homo sapiens
k141_5968	685	0.361	2	2.500	0.726	5	1.000	0.401	2023	0.308297451870994	0.155758265851948	Homo sapiens
k141_2190	523	0.365	4	1.500	0.769	6	3.000	0.840	2024	0.390372811007195	0.21355178988872	Homo sapiens
k141_8078	395	0.405	3	4.333	0.922	6	8.500	0.844	2025	0.532921747166053	0.174632439777402	NA
k141_4506	416	0.392	2	1.500	0.977	2	1.500	0.715	2026	0.678911149933537	0.248901712914428	Homo sapiens
k141_5416	333	0.396	2	1.500	0.877	2	1.500	0.956	2026	0.613296070478164	0.310182772701418	Homo sapiens
k141_1216	491	0.387	5	15.200	1.000	12	20.917	0.923	2026	0.407361799165634	0.210477067519905	Homo sapiens
k141_9637	426	0.427	4	2.250	0.869	8	3.875	0.810	2027	0.496839073852636	0.151247000004395	Homo sapiens
k141_755	657	0.394	5	7.800	0.971	7	16.429	0.818	2027	0.361095325304995	0.154421089988228	Homo sapiens
k141_1217	515	0.375	2	1.500	0.836	3	2.667	0.730	2028	0.800812102821721	0.272299995670883	NA
k141_1880	347	0.360	4	3.000	0.890	3	2.333	0.974	2028	0.629848122717785	0.276242677210122	Homo sapiens
k141_1487	384	0.365	4	3.000	0.751	5	1.400	0.479	2028	0.556655208545103	0.262099892775658	Homo sapiens
k141_2701	422	0.408	5	4.000	0.922	4	6.000	0.928	2028	0.485651022616871	0.16289820476713	Homo sapiens
k141_7238	513	0.378	2	1.500	0.793	4	2.750	0.916	2028	0.35820198806223	0.211306781108849	Homo sapiens
k141_3543	429	0.375	5	11.200	1.000	11	6.727	0.974	2029	0.477176036087691	0.272436370767656	Homo sapiens
k141_10278	651	0.419	5	5.000	0.832	9	14.889	0.803	2029	0.327395020785782	0.1260768424158	Homo sapiens
k141_1727	563	0.403	4	2.000	0.761	6	2.167	0.538	2030	0.353386410385923	0.153113206614321	Homo sapiens
k141_7028	399	0.388	3	2.000	0.983	6	2.000	0.944	2031	0.528307293581984	0.17469509953429	Homo sapiens
k141_4323	709	0.423	5	1.800	0.596	7	9.429	0.820	2031	0.310951345113114	0.107340403467503	NA
k141_8603	344	0.384	4	2.000	0.895	4	3.500	0.919	2032	0.651148810549766	0.232220906561959	Homo sapiens
k141_2291	417	0.367	5	6.800	1.000	7	12.000	0.974	2032	0.504164206911552	0.167168167737923	Homo sapiens
k141_6455	472	0.424	3	1.333	0.604	3	2.333	0.724	2032	0.475599628960472	0.165858003537642	NA
k141_348	343	0.405	4	1.250	0.887	6	2.333	0.885	2033	0.897091337099542	0.266189862935684	Homo sapiens
k141_6975	497	0.394	4	3.750	0.797	9	7.111	0.777	2033	0.434124608512939	0.15116919257398	Homo sapiens
k141_6061	497	0.412	4	2.250	0.883	4	4.750	0.829	2033	0.425199570100437	0.142472060930317	Homo sapiens
k141_10432	614	0.394	4	2.000	0.446	6	1.500	0.508	2033	0.360393464415568	0.209585165402338	Homo sapiens
k141_8378	348	0.371	4	1.750	0.958	5	4.000	0.945	2034	0.637161651266735	0.287124067942599	Homo sapiens
k141_7670	485	0.377	5	26.800	1.000	12	31.417	0.996	2035	0.388596857184831	0.192942861308412	NA
k141_7530	486	0.414	5	3.800	0.774	5	4.600	0.717	2036	0.596781284626304	0.188571110166968	Homo sapiens
k141_1055	529	0.378	5	5.800	0.873	11	5.364	0.965	2037	0.413156544562824	0.233916991068449	Homo sapiens
k141_1275	581	0.375	3	2.667	0.893	4	1.000	0.688	2037	0.372736330506132	0.221091593989576	Homo sapiens
k141_2903	844	0.379	5	3.000	0.765	8	26.250	0.604	2037	0.227232905164134	0.113171186409657	Homo sapiens
k141_5983	290	0.393	3	1.000	0.952	2	1.500	0.726	2038	0.712856413395766	0.240439864156229	Naegleria fowleri
k141_9908	462	0.364	3	2.000	0.913	6	4.167	0.963	2038	0.599600064193729	0.22822995529006	Homo sapiens
k141_7620	740	0.420	3	18.667	0.990	3	4.000	0.825	2038	0.523128026807661	0.19101075803989	Homo sapiens
k141_8530	564	0.392	5	28.800	0.976	13	43.923	0.849	2040	0.710966267295752	0.227839781819962	Homo sapiens
k141_3681	417	0.417	3	2.000	0.897	2	1.000	0.685	2041	0.622666942304788	0.179303624662174	Homo sapiens
k141_482	551	0.387	5	12.200	0.972	13	10.846	0.902	2041	0.379528043382149	0.149965522417234	Homo sapiens
k141_5499	415	0.366	5	1.400	0.731	4	1.250	0.662	2042	0.766157331642678	0.227996208651887	Homo sapiens
k141_6516	671	0.399	5	36.200	0.974	14	25.286	0.930	2042	0.339399498130933	0.120934775677677	Homo sapiens
k141_7106	393	0.374	5	1.800	0.981	3	3.000	1.000	2043	0.575924263187487	0.217746689493131	Naegleria fowleri
k141_2930	445	0.411	3	5.333	0.968	3	5.333	0.931	2043	0.459185029361104	0.15634139236242	Homo sapiens
k141_6778	619	0.410	5	1.600	0.697	5	6.200	0.787	2043	0.347126256569537	0.121917215752815	NA
k141_4721	907	0.395	3	1.667	0.459	4	4.500	0.669	2044	0.294916742523854	0.16551978293198	Homo sapiens
k141_7222	855	0.402	5	17.400	0.824	9	32.222	0.672	2045	0.250894321760979	0.116113104939006	Homo sapiens
k141_2136	441	0.385	5	13.600	0.933	12	14.833	0.911	2046	0.501697849119626	0.173817247068195	Homo sapiens
k141_4881	773	0.373	5	10.400	0.900	14	6.786	0.856	2046	0.290969659678039	0.1693461256464	Homo sapiens
k141_7973	1008	0.384	4	6.000	0.645	4	5.500	0.659	2047	17.7316505954886	0.298206007944434	Homo sapiens
k141_2152	947	0.390	3	33.333	1.000	7	10.714	0.698	2047	14.4543016526938	0.31696618384764	Homo sapiens
k141_2074	342	0.374	4	1.000	0.856	3	3.000	0.778	2047	0.62530967228312	0.219135529687844	NA
k141_2814	488	0.387	5	52.800	0.991	15	45.267	0.921	2047	0.450328724579508	0.162901732918348	Homo sapiens
k141_3309	784	0.408	4	5.500	0.866	8	8.375	0.765	2047	0.272405035665558	0.174516990788146	NA
k141_6421	1022	0.423	2	2.000	0.613	4	6.500	0.873	2047	0.255638395174503	0.103941253420072	NA
k141_4922	697	0.393	5	4.600	0.850	6	23.833	0.899	2048	0.345186465615006	0.127602880758832	Naegleria fowleri
k141_3475	866	0.415	2	3.500	0.987	2	5.000	0.785	2049	3.17827863385768	0.222652389274837	Homo sapiens
k141_2183	419	0.399	5	16.000	1.000	8	19.250	0.957	2049	0.528859625275498	0.186356795565805	Homo sapiens
k141_7122	550	0.385	5	20.400	0.987	13	20.692	0.947	2050	0.422268698289879	0.174848422973344	NA
k141_1258	684	0.390	4	13.250	0.925	4	18.250	0.876	2051	17.4677052956125	0.446109716726489	Homo sapiens
k141_4378	610	0.413	2	2.000	0.694	3	1.000	0.524	2051	0.628065376172736	0.119400150883489	Homo sapiens
k141_4031	465	0.413	5	26.800	0.999	15	20.533	0.912	2051	0.447372298693356	0.157130702432129	Homo sapiens
k141_10395	377	0.401	3	1.667	0.790	4	2.750	0.925	2052	0.823019582408384	0.286098170235349	NA
k141_5630	426	0.376	4	3.000	0.880	6	6.667	0.965	2052	0.550953476505005	0.196285329825547	NA
k141_9110	488	0.381	3	1.333	0.721	2	1.500	0.895	2052	0.425942668411432	0.19373324376209	Pan troglodytes
k141_5210	282	0.401	2	2.000	0.858	4	3.000	0.954	2053	0.804532720617328	0.249754792952811	NA
k141_6429	405	0.380	5	10.200	1.000	9	12.444	0.949	2053	0.542717396441819	0.190873140132312	Homo sapiens
k141_1822	411	0.372	2	1.500	0.644	2	1.500	0.227	2054	0.647431919602933	0.224826023181229	Homo sapiens
k141_8351	638	0.389	5	12.000	1.000	16	12.688	0.894	2054	0.438874578232703	0.208006834756255	Homo sapiens
k141_6545	661	0.381	5	5.600	0.882	14	4.429	0.831	2056	0.367101646008437	0.191595233342754	Homo sapiens
k141_6141	493	0.381	5	5.600	0.933	8	8.250	0.889	2057	0.490228354550404	0.182277692707834	Naegleria fowleri
k141_10390	482	0.386	2	2.500	0.927	4	2.000	0.691	2057	0.447568574285711	0.19301409600962	NA
k141_10526	748	0.372	5	4.200	0.847	10	7.900	0.785	2057	0.293767078270026	0.15027995085186	Homo sapiens
k141_5320	328	0.415	3	1.333	0.981	5	4.000	0.999	2058	0.679945096249839	0.216392357408178	NA
k141_5783	441	0.408	3	3.333	1.000	5	4.600	0.888	2058	0.501081428286474	0.172288639202294	NA
k141_7943	390	0.421	3	3.000	0.879	6	1.667	0.746	2060	1.54666785518342	0.389482054158213	Homo sapiens
k141_179	395	0.387	4	5.750	0.984	5	7.400	0.967	2060	0.570350670127253	0.205785852530602	Naegleria fowleri
k141_1980	735	0.401	5	11.600	0.879	11	6.909	0.828	2061	0.30752593528013	0.108665859240914	Homo sapiens
k141_628	534	0.376	4	2.500	0.902	6	5.667	0.964	2062	0.495675779983428	0.251419332363171	Homo sapiens
k141_5206	299	0.398	5	2.000	0.956	4	8.000	0.970	2063	0.753750941662229	0.240950744385851	NA
k141_1526	356	0.393	5	1.400	0.831	6	7.333	0.959	2063	0.636112753816951	0.229139837470847	NA
k141_4664	321	0.364	5	2.000	0.957	6	3.167	0.968	2064	0.782196347728014	0.302579755504741	Homo sapiens
k141_6173	448	0.375	5	4.000	0.988	7	10.714	0.960	2064	0.556874660220712	0.213823675407052	Naegleria fowleri
k141_3535	456	0.384	4	1.250	0.538	2	1.500	0.809	2064	0.52894810216799	0.270242165710992	Homo sapiens
k141_6868	759	0.382	5	13.400	0.859	17	12.941	0.862	2064	0.31856634290296	0.181473311053591	Homo sapiens
k141_767	301	0.429	2	2.000	0.997	3	2.000	0.733	2065	0.790146096322817	0.285545778642406	NA
k141_9183	672	0.390	4	7.000	0.986	4	10.500	0.868	2065	0.571098125390206	0.195720610381345	Homo sapiens
k141_5546	362	0.381	3	1.667	0.807	2	3.500	0.985	2066	0.727383120038184	0.298368137324749	Homo sapiens
k141_5796	400	0.380	3	1.667	0.934	5	1.600	0.850	2066	0.637594720132638	0.304932524803141	Homo sapiens
k141_2159	470	0.396	5	2.600	0.737	9	2.778	0.613	2066	0.620726351433129	0.272919980044609	Homo sapiens
k141_6681	417	0.381	5	18.000	0.990	15	10.533	0.941	2066	0.578153744178228	0.306456079744102	Homo sapiens
k141_853	516	0.415	4	2.250	0.781	8	4.500	0.838	2066	0.464100906305391	0.211408551842323	Homo sapiens
k141_6884	664	0.410	5	3.400	0.810	6	25.167	0.914	2066	0.345613214366069	0.136549360357407	Homo sapiens
k141_3096	360	0.383	5	5.800	1.000	11	3.727	0.936	2067	0.692880166267573	0.337956023837331	Homo sapiens
k141_9331	782	0.400	3	3.333	0.991	4	14.750	1.000	2067	0.311842730118446	0.1337316485963	Homo sapiens
k141_7878	485	0.371	5	20.600	0.988	13	8.231	0.925	2068	0.548090889964347	0.278238743992477	Homo sapiens
k141_718	384	0.396	2	1.000	0.583	11	1.909	0.404	2069	0.718578048515646	0.313417720770424	Homo sapiens
k141_5975	524	0.370	3	4.000	1.000	7	3.000	0.834	2069	0.619308227697172	0.294998831391633	Homo sapiens
k141_10413	473	0.378	2	4.000	0.902	4	2.000	0.801	2069	0.592246334869563	0.21098428569128	Naegleria fowleri
k141_5607	660	0.408	2	3.500	0.964	2	1.000	0.262	2069	0.438533114017561	0.141595684102986	Homo sapiens
k141_1877	562	0.379	4	3.000	0.706	9	3.444	0.587	2070	0.773644590145054	0.0998630624565715	Homo sapiens
k141_7830	491	0.413	4	1.500	0.583	8	3.000	0.704	2070	0.621414170692971	0.251746122257115	Homo sapiens
k141_7111	460	0.404	4	5.000	1.000	8	9.125	0.848	2070	0.548017841723496	0.192787052334327	Homo sapiens
k141_7041	599	0.401	5	9.000	0.830	15	8.800	0.886	2070	0.35421083927544	0.21964980795732	Homo sapiens
k141_4683	563	0.368	4	2.250	0.715	4	2.250	0.536	2071	0.424540521922832	0.141617296628112	Homo sapiens
k141_10339	529	0.395	5	27.200	0.992	12	30.250	0.930	2071	0.423897016769179	0.15751345599184	Homo sapiens
k141_7831	781	0.375	5	10.400	0.987	15	13.267	0.839	2071	0.328997128811064	0.181594246472974	Homo sapiens
k141_9052	425	0.424	4	5.000	0.954	5	2.000	0.774	2072	0.55580699036017	0.171779547551039	NA
k141_5805	448	0.397	5	4.800	0.720	12	11.500	0.684	2073	0.903515868918652	0.223839473249699	Homo sapiens
k141_642	379	0.359	5	6.600	0.993	13	4.769	0.976	2074	0.577196510652398	0.281278488251322	Homo sapiens
k141_9882	618	0.413	5	37.000	0.991	12	36.167	0.914	2074	0.380215235457515	0.143568135813022	Homo sapiens
k141_7332	782	0.390	5	13.400	0.850	16	19.562	0.788	2074	0.304534243319659	0.159008118887561	Homo sapiens
k141_1973	325	0.382	2	1.000	0.880	2	1.500	0.705	2075	0.739306285192782	0.229704266881782	NA
k141_979	530	0.396	5	7.200	0.940	11	4.364	0.763	2075	0.581137184967383	0.198098426540423	Homo sapiens
k141_9245	609	0.389	5	6.800	0.914	11	6.545	0.850	2075	0.386385045403117	0.143492844174244	Homo sapiens
k141_7129	351	0.382	4	2.250	0.870	4	2.750	0.942	2077	0.742512746296122	0.367900272511148	NA
k141_10222	441	0.410	5	6.800	0.945	7	12.714	0.953	2077	0.594074266088804	0.213577876819936	NA
k141_4409	549	0.375	4	4.000	0.843	11	2.636	0.741	2078	0.489561370612519	0.269549329575474	Homo sapiens
k141_8764	593	0.354	3	2.000	0.734	3	1.333	0.477	2078	0.436029355424937	0.19359570792959	Homo sapiens
k141_8111	405	0.398	2	2.000	0.842	4	1.500	0.664	2079	0.686668505165893	0.300749377296443	Homo sapiens
k141_10253	560	0.405	5	9.000	0.900	6	17.333	0.956	2079	0.607251929132295	0.178788969641466	Naegleria fowleri
k141_4154	499	0.409	3	2.333	0.740	3	5.333	0.739	2080	0.459360429376197	0.167830780067643	Homo sapiens
k141_3211	853	0.389	4	5.750	0.648	11	6.455	0.565	2080	0.328027753848379	0.0963608296885598	Homo sapiens
k141_3868	549	0.399	3	4.333	0.971	3	4.333	0.985	2082	1.05143624625968	0.255180439077044	Homo sapiens
k141_6132	414	0.389	5	12.400	1.000	9	20.222	0.988	2082	0.60223748809111	0.226197228052458	NA
k141_1463	384	0.380	2	1.000	0.999	2	1.500	0.643	2083	1.30788278020586	0.172432003767605	Homo sapiens
k141_10053	550	0.371	2	1.500	0.967	6	2.500	0.675	2083	0.496519896597363	0.240534848251989	Homo sapiens
k141_845	684	0.387	5	46.200	0.930	15	37.400	0.830	2083	0.352664242592376	0.136243884517397	Homo sapiens
k141_6723	282	0.397	4	2.250	0.882	4	4.500	0.918	2084	0.752704937523853	0.272918236861959	NA
k141_5470	459	0.375	5	33.800	0.993	14	15.286	0.939	2084	0.580790321047547	0.281690058733914	Homo sapiens
k141_3187	649	0.384	5	13.200	0.925	14	6.500	0.879	2084	0.51388308195048	0.18516045923835	Homo sapiens
k141_9996	483	0.391	4	1.500	0.820	7	1.857	0.876	2084	0.487584798356547	0.175597177398986	Homo sapiens
k141_7854	502	0.371	5	15.600	0.967	12	9.667	0.911	2085	0.522960221616805	0.273724423805459	NA
k141_5571	576	0.408	4	4.750	0.479	8	5.125	0.589	2086	1.19430417439928	0.186144030895031	Homo sapiens
k141_7406	395	0.390	5	5.000	0.971	11	3.091	0.862	2086	0.640772858569131	0.274004646075943	Homo sapiens
k141_1907	520	0.406	4	8.000	0.989	9	10.556	0.924	2086	0.435346815665723	0.226079646397754	NA
k141_8692	566	0.401	4	9.750	0.900	11	9.273	0.699	2087	0.889106016486394	0.109685698480574	Homo sapiens
k141_2782	503	0.398	5	23.000	0.977	12	11.583	0.907	2087	0.708904458021258	0.233053982197691	Homo sapiens
k141_6713	612	0.358	3	2.000	0.622	5	3.200	0.708	2088	0.417808136219818	0.21386930356581	Homo sapiens
k141_5084	1317	0.386	4	112.250	0.839	11	29.545	0.525	2088	0.413713125362055	0.165822431795883	Homo sapiens
k141_2206	372	0.387	2	2.000	1.000	4	1.500	0.950	2089	0.659359547390859	0.234479856170791	NA
k141_7475	382	0.385	3	2.667	0.955	5	2.400	0.902	2090	0.914547335871684	0.310151259621825	Homo sapiens
k141_288	655	0.369	5	37.600	1.000	15	20.467	0.965	2090	0.415808400580217	0.224114156363778	Homo sapiens
k141_9631	359	0.412	2	1.500	0.896	3	1.333	0.559	2091	2.19067732693429	0.159274461454498	Homo sapiens
k141_6462	456	0.414	4	1.500	0.988	5	1.800	0.671	2092	1.2851700842165	0.314681153214656	Homo sapiens
k141_7435	476	0.380	5	9.200	0.966	11	6.182	0.863	2092	0.627160964101032	0.301320143598987	Homo sapiens
k141_6354	400	0.415	3	3.000	0.872	5	3.400	0.944	2092	0.613336512215809	0.253495489665081	NA
k141_6500	746	0.389	3	9.000	0.960	4	5.000	0.646	2093	0.859236413294996	0.221109303459054	Homo sapiens
k141_10005	614	0.366	5	19.800	0.984	15	13.800	0.931	2094	0.469453102748025	0.24788026936983	Homo sapiens
k141_8715	349	0.375	3	3.333	1.000	3	7.667	0.912	2095	0.951731951998201	0.230606361668884	Homo sapiens
k141_3034	374	0.417	4	2.000	0.826	5	4.800	0.936	2095	0.674319274739666	0.216596729134499	NA
k141_10472	901	0.377	4	7.250	0.993	8	9.375	0.906	2095	0.31757532669318	0.134800651704739	Homo sapiens
k141_6320	496	0.367	2	2.000	0.682	5	2.200	0.567	2096	1.37668633154884	0.191557547617848	Homo sapiens
k141_1783	535	0.381	5	12.800	0.992	9	21.333	0.976	2096	0.481871393920798	0.196739682480189	NA
k141_4845	358	0.366	4	2.250	0.999	7	1.857	0.923	2097	0.823934858164888	0.368683332455053	Homo sapiens
k141_1133	680	0.400	5	28.800	0.988	16	24.938	0.951	2097	0.433035681584591	0.195716425407634	Homo sapiens
k141_1797	659	0.393	5	30.400	0.960	16	17.312	0.932	2097	0.394667410827934	0.161868313399742	Homo sapiens
k141_7645	589	0.379	5	15.800	0.910	14	11.286	0.864	2098	0.458943245780825	0.219481545382178	Homo sapiens
k141_3548	415	0.405	2	2.000	0.971	2	1.500	0.458	2099	0.825741631825549	0.231820146142844	Homo sapiens
k141_5283	554	0.374	5	31.000	0.989	14	12.357	0.979	2099	0.499853538642731	0.267155443617373	Homo sapiens
k141_733	370	0.386	5	5.000	0.870	14	8.214	0.896	2100	0.936151138449596	0.200440986847974	Homo sapiens
k141_1118	380	0.368	5	3.000	0.998	5	3.800	0.967	2101	0.729693132395351	0.268548545345263	Naegleria fowleri
k141_5825	1319	0.406	5	11.000	0.851	15	13.000	0.779	2101	0.255945699144083	0.138179270574396	Homo sapiens
k141_10249	580	0.383	2	2.000	0.979	3	1.667	0.259	2103	0.921904610324139	0.174751906272385	Homo sapiens
k141_5979	479	0.392	5	30.200	1.000	14	15.571	0.940	2103	0.787693464969798	0.26047255706904	Homo sapiens
k141_8262	439	0.403	5	1.800	0.916	4	5.250	0.810	2103	0.551268530804036	0.201952315135031	NA
k141_1120	870	0.371	5	5.400	0.799	13	3.154	0.603	2103	0.378191647880392	0.186901091592307	Homo sapiens
k141_6887	911	0.398	5	29.400	0.943	11	25.455	0.929	2103	0.275648704576181	0.118433739998883	Homo sapiens
k141_8787	584	0.390	4	3.750	0.978	7	5.714	0.797	2104	1.07949266694341	0.275232888184892	NA
k141_5273	559	0.361	3	1.000	0.586	4	2.000	0.745	2104	0.564418757500417	0.154484584281101	Homo sapiens
k141_8775	413	0.424	2	2.000	0.617	3	1.667	0.542	2105	0.632610397087784	0.196726845275231	Homo sapiens
k141_4748	565	0.398	4	3.750	0.927	12	5.500	0.809	2105	0.609043376166969	0.233950168351564	Homo sapiens
k141_7180	386	0.412	5	2.600	0.910	6	2.500	0.759	2106	4.14482985788513	0.142260299227298	Homo sapiens
k141_1630	383	0.402	4	3.250	0.920	4	13.000	1.000	2106	0.69711938820621	0.261751316513042	NA
k141_6146	659	0.388	3	3.000	0.786	3	1.333	0.608	2107	0.511646711847268	0.151734650277803	Homo sapiens
k141_7481	767	0.368	5	42.600	0.999	15	22.600	0.937	2107	0.452495146153334	0.237681731690879	Homo sapiens
k141_8691	624	0.397	5	10.600	0.917	15	10.200	0.895	2107	0.400330086834273	0.195047137815831	Homo sapiens
k141_9092	770	0.405	5	3.800	0.703	6	8.000	0.644	2108	0.347434703885971	0.200845472877413	Homo sapiens
k141_1134	370	0.365	5	28.200	1.000	13	25.462	0.984	2109	0.717511133559579	0.258338137792078	Naegleria fowleri
k141_5633	507	0.377	4	2.500	0.802	4	1.000	0.536	2109	0.554398437898387	0.260957984010385	Homo sapiens
k141_2300	520	0.387	3	4.000	0.946	2	2.500	0.766	2110	1.74752005877321	0.25543127165322	NA
k141_5037	334	0.380	2	1.500	0.889	6	1.333	0.837	2110	0.841429743956566	0.367599916608283	Homo sapiens
k141_1056	395	0.382	5	5.600	0.919	9	2.556	0.808	2110	0.651703617467761	0.310113613923616	Homo sapiens
k141_2517	642	0.394	4	4.500	0.880	8	15.750	0.869	2111	0.446138810134551	0.181988195527946	Homo sapiens
k141_1819	348	0.399	3	2.333	0.557	3	1.333	0.576	2112	1.17343530569698	0.23884069059157	Homo sapiens
k141_6447	412	0.379	5	8.400	1.000	13	9.000	0.926	2112	0.765329699610521	0.308657803784644	Homo sapiens
